Gene	Whole_Body	Muscle	Gut	Fat_Body
FBgn0000008	0.109965635738832	0.0446735395189003	0.00630011454753723	0.183848797250859
FBgn0000014	0.0478870800138552	0.148164184274333	0.00337720817457569	0.0267578801524074
FBgn0000015	0.0344488188976378	0.0871062992125985	0.00196850393700787	0.00935039370078741
FBgn0000017	0.0692410119840214	0.051930758988016	0.0255659121171771	0.0178428761651132
FBgn0000018	0.0974539069359087	0.0899912203687445	0.0333625987708516	0.033801580333626
FBgn0000022	0.200549450549451	0.118131868131868	0	0
FBgn0000024	0.0557865557865558	0.0249480249480249	0.0367290367290367	0.0370755370755371
FBgn0000028	0.191176470588235	0	0	0
FBgn0000032	0.0583310645249116	0.0545194663762592	0.0711952082766132	0.0383882384971413
FBgn0000036	0.197080291970803	0	0	0
FBgn0000037	0.210526315789474	0	0	0
FBgn0000038	0.176811594202898	0	0	0
FBgn0000039	0.240963855421686	0	0	0
FBgn0000042	0.156698862535632	0.194489801566435	0.10549912822074	0.0628465207243609
FBgn0000043	0.243874586797556	0.108604627867375	0.159911850145247	0.0249624361414404
FBgn0000044	0.0802066095674632	0.480775755225823	0.00311229894687282	0.000713163051230034
FBgn0000045	0.461538461538462	0	0	0
FBgn0000046	0.0850384980487289	0.527779242695919	0.0032565130260521	0.00158211159160426
FBgn0000047	0.494117647058824	0	0	0
FBgn0000052	0.0508711288013687	0.00558639712300548	0.00261862365140882	0.167556998708146
FBgn0000053	0.0693889776357827	0.00319488817891374	0.00342784877529286	0.288371938232162
FBgn0000054	0.0715589948700112	0.0526910703417094	0.0291279019215721	0.015650812972785
FBgn0000055	0	0	0	7.78411121371985e-05
FBgn0000056	0	0	0	0
FBgn0000057	0.0925982800982801	0.0542076167076168	0.0182739557739558	0.0790847665847667
FBgn0000061	0.0734736115902035	0.0869265263884098	0.047602621593653	0
FBgn0000063	0.161835748792271	0.0374396135265699	0.0217391304347826	0
FBgn0000064	0.0100915134828237	0.0182019645789709	0.00125762357983162	0.0129150615686107
FBgn0000071	0.0531089168664398	0.0116008113862299	0.0141154381318	0.222879750549027
FBgn0000075	0.294117647058824	0.176470588235294	0	0
FBgn0000077	0.024616549895853	0.0335163794735845	0.0340844537019504	0.0295398598750236
FBgn0000078	0.0419474521087304	0	0.57181797531612	0
FBgn0000079	0.0562584036181396	0	0.530130790856864	0
FBgn0000083	0.0365767475669346	0.057000363445463	0.0138109275935872	0.0174352865161733
FBgn0000084	0.114381388790976	0.304899541769475	0.0431794148748678	0.0396545646810011
FBgn0000097	0.0792958656330751	0.0398901808785529	0.0290697674418605	0.0429586563307494
FBgn0000100	0.0518972788281588	0.0596261193632787	0.0237023945294337	0.0303694159069301
FBgn0000108	0.189873417721519	0.01879555044112	0.0046029919447641	0
FBgn0000109	0.0188721635587508	0.0172994832621883	0.0196585037070321	0.0290945854864075
FBgn0000114	0.11533180778032	0.00251716247139589	0	0.0272311212814646
FBgn0000115	0.059242064893778	0.083160922440329	0.0340112025029016	0.0268456375838926
FBgn0000116	0.0140297579428586	0.0594053001771455	0.00188412721927443	8.97203437749728e-05
FBgn0000117	0.0710652206853257	0.0624932354914822	0.0355001407017772	0.0201095309219214
FBgn0000119	0.095038852361028	0.0527993624227933	0.0253038453875274	0.0458258617254433
FBgn0000120	0.0770901194353964	0	0	0
FBgn0000137	0.177777777777777	0	0	0
FBgn0000139	0.0672379696769941	0.0457042408261921	0.0459239727532411	0.025708635464733
FBgn0000140	0.218537414965986	0.0416666666666666	0.016156462585034	0
FBgn0000146	0.231759656652361	0	0	0
FBgn0000147	0.298395721925134	0.018716577540107	0	0
FBgn0000150	0.0535641571556548	0.0533663746466092	0.0296382906937512	0.0133037822996289
FBgn0000152	0.0210843373493976	0.0522678951098512	0.00460666194188519	0.00690999291282778
FBgn0000153	0.0768802486892775	0.0871340416647334	0	0
FBgn0000157	0.138741916519694	0.0482069370958259	0	0
FBgn0000158	0.509803921568628	0	0	0
FBgn0000163	0.115450791465933	0.0696834136269786	0.0679628355127324	0.0170337233310392
FBgn0000173	0.0254480440228679	0.0351904588570328	0.0324069117615571	0.014003383080316
FBgn0000179	0.157952069716776	0.047930283224401	0	0.00762527233115468
FBgn0000180	0.121010004764173	0.0438303954263936	0.106717484516436	0
FBgn0000181	0.0487925266448511	0.0560989134872611	0.0169893298720925	0.0163616752893
FBgn0000182	0	0	0	0
FBgn0000183	0.0467554250969704	0.0613271831428871	0.0287241849250445	0.00712862983541253
FBgn0000210	0.194035485088713	0.251038127595318	0.0847112117780295	0.0476406191015477
FBgn0000212	0.0751370525636891	0.0785768031817694	0.0211759647425562	0.0145114479200258
FBgn0000216	0.119760479041916	0.0651197604790419	0	0
FBgn0000221	0.0940246045694201	0.0738137082601054	0.0448154657293497	0.0184534270650264
FBgn0000228	0.0630285944422068	0.0767217076117599	0.0501409585179219	0.0285944422070076
FBgn0000229	0.043261349868149	0.0492480935072339	0.029791176680208	0.0237331622835151
FBgn0000233	0.138613861386139	0.0528052805280528	0	0
FBgn0000239	0.0491674930841902	0.0495850514118691	0.0214520590845034	0.0249491100788141
FBgn0000241	0.0532966142880286	0	0.0332091365624493	0.128462659970841
FBgn0000244	0.0276444890066605	0.0880183341688749	0.015182983599513	0.00408221728854831
FBgn0000246	0.071680376028202	0.0387779083431257	0.0176263219741481	0.0164512338425382
FBgn0000247	0.0730944938687182	0.0687665304159654	0.0331810531377735	0.0163500841548449
FBgn0000250	0.0368641339343207	0.072665808113329	0.016677398583387	0.0158403090792015
FBgn0000251	0.0948837209302325	0.0111627906976744	0.113116279069768	0
FBgn0000253	0.0192356225748446	0.0242436669926497	0.00657749455818795	0.0156787280355847
FBgn0000256	0.103559870550162	0.0275080906148868	0.0862459546925568	0.013915857605178
FBgn0000257	0.0466633216256899	0.039136979427998	0.0376317109884596	0.0180632212744606
FBgn0000259	0.0322195704057279	0.0305074193213656	0.0117775241257653	0.0125557746186573
FBgn0000261	0.0420886008256861	0.0603820402575456	0.0182121542706796	0.0895120751246015
FBgn0000273	0.060524762569083	0.133497880560176	0.0175457423405054	0.0105167140634222
FBgn0000274	0.248837209302326	0	0	0
